Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 55   | ADI 1592  | MOREIRA ALVES       | N | 0.000015
 56   | RE 194382 | MAURÍCIO CORRÊA     | N | 0.000014
 57   | RE 376846 | CARLOS VELLOSO      | N | 0.000014
 58   | RE 346084 | ILMAR GALVÃO        | N | 0.000014
 59   | ADI 2596  | SEPÚLVEDA PERTENCE  | N | 0.000013
 60   | ADI 3105  | ELLEN GRACIE        | N | 0.000013
 61   | ADI 2208  | GILMAR MENDES       | N | 0.000013
 62   | ADI 1628  | EROS GRAU           | N | 0.000013
 63   | ADI 1399  | MAURÍCIO CORRÊA     | N | 0.000012
 64   | RE 207260 | CARLOS VELLOSO      | S | 0.000012
 65   | ADI 2098  | ILMAR GALVÃO        | N | 0.000012
 66   | ADI 1571  | GILMAR MENDES       | N | 0.000012
 67   | ADI 1914  | CEZAR PELUSO        | N | 0.000012
 68   | HC 81611  | SEPÚLVEDA PERTENCE  | N | 0.000012
 69   | ADI 872   | ELLEN GRACIE        | N | 0.000011
 70   | ADI 2103  | ELLEN GRACIE        | N | 0.000011
 71   | ADI 2104  | EROS GRAU           | N | 0.000011
 72   | RE 401436 | CARLOS VELLOSO      | N | 0.000011
 73   | ADI 2101  | MAURÍCIO CORRÊA     | N | 0.000011
 74   | ADI 1550  | MAURÍCIO CORRÊA     | N | 0.000011
 75   | RCL 759   | ELLEN GRACIE        | N | 0.000011
 76   | ADI 1957  | GILMAR MENDES       | N | 0.000011
 77   | RE 609381 | TEORI ZAVASCKI      | N | 0.000011
 78   | HC 82959  | MARCO AURÉLIO       | N | 0.000010
 79   | ADI 1704  | CARLOS VELLOSO      | N | 0.000010
 80   | ADI 3128  | ELLEN GRACIE        | N | 0.000010
 81   | RE 361518 | ELLEN GRACIE        | N | 0.000010
 82   | RCL 777   | MOREIRA ALVES       | N | 0.000009
 83   | ADI 1851  | ILMAR GALVÃO        | N | 0.000009
 84   | ADI 1127  | MARCO AURÉLIO       | N | 0.000009
 85   | RE 291487 | MOREIRA ALVES       | N | 0.000009
 86   | RMS 24651 | MARCO AURÉLIO       | N | 0.000009
 87   | ADI 1143  | ILMAR GALVÃO        | N | 0.000009
 88   | ADI 2417  | MAURÍCIO CORRÊA     | N | 0.000009
 89   | RE 606358 | ROSA WEBER          | N | 0.000009
 90   | RE 424053 | MARCO AURÉLIO       | N | 0.000009
 91   | AO 864    | CARLOS VELLOSO      | N | 0.000009
 92   | ADI 3615  | ELLEN GRACIE        | N | 0.000009
